indicator,date,rate
open,2022-01-12 18:38:00,2828.0
high,2022-01-12 18:38:00,2828.0
low,2022-01-12 18:38:00,2828.0
close,2022-01-12 18:38:00,2828.0
open,2022-01-12 17:30:00,2828.04
high,2022-01-12 17:30:00,2828.04
low,2022-01-12 17:30:00,2828.04
close,2022-01-12 17:30:00,2828.04
open,2022-01-12 16:58:00,2829.5
high,2022-01-12 16:58:00,2829.5
low,2022-01-12 16:58:00,2829.5
close,2022-01-12 16:58:00,2829.5
open,2022-01-12 16:57:00,2829.5
high,2022-01-12 16:57:00,2829.5
low,2022-01-12 16:57:00,2829.5
close,2022-01-12 16:57:00,2829.5
open,2022-01-12 16:43:00,2829.2
high,2022-01-12 16:43:00,2829.2
low,2022-01-12 16:43:00,2829.2
close,2022-01-12 16:43:00,2829.2
open,2022-01-12 16:06:00,2828.61
high,2022-01-12 16:06:00,2828.61
low,2022-01-12 16:06:00,2828.61
close,2022-01-12 16:06:00,2828.61
open,2022-01-12 16:04:00,2828.61
high,2022-01-12 16:04:00,2828.61
low,2022-01-12 16:04:00,2828.61
close,2022-01-12 16:04:00,2828.61
open,2022-01-12 16:03:00,2828.61
high,2022-01-12 16:03:00,2828.61
low,2022-01-12 16:03:00,2828.61
close,2022-01-12 16:03:00,2828.61
open,2022-01-12 16:02:00,2828.61
high,2022-01-12 16:02:00,2828.61
low,2022-01-12 16:02:00,2828.61
close,2022-01-12 16:02:00,2828.61
open,2022-01-12 16:01:00,2828.61
high,2022-01-12 16:01:00,2828.61
low,2022-01-12 16:01:00,2828.61
close,2022-01-12 16:01:00,2828.61
open,2022-01-12 16:00:00,2827.08
high,2022-01-12 16:00:00,2828.61
low,2022-01-12 16:00:00,2824.55
close,2022-01-12 16:00:00,2828.61
open,2022-01-12 15:59:00,2826.65
high,2022-01-12 15:59:00,2828.44
low,2022-01-12 15:59:00,2826.555
close,2022-01-12 15:59:00,2827.24
open,2022-01-12 15:58:00,2825.65
high,2022-01-12 15:58:00,2827.92
low,2022-01-12 15:58:00,2825.63
close,2022-01-12 15:58:00,2827.92
open,2022-01-12 15:57:00,2826.74
high,2022-01-12 15:57:00,2826.96
low,2022-01-12 15:57:00,2825.59
close,2022-01-12 15:57:00,2826.83
open,2022-01-12 15:56:00,2827.62
high,2022-01-12 15:56:00,2829.86
low,2022-01-12 15:56:00,2825.84
close,2022-01-12 15:56:00,2825.84
open,2022-01-12 15:55:00,2831.96
high,2022-01-12 15:55:00,2832.3
low,2022-01-12 15:55:00,2827.32
close,2022-01-12 15:55:00,2827.33
open,2022-01-12 15:54:00,2833.02
high,2022-01-12 15:54:00,2833.49
low,2022-01-12 15:54:00,2830.56
close,2022-01-12 15:54:00,2831.46
open,2022-01-12 15:53:00,2832.59
high,2022-01-12 15:53:00,2833.115
low,2022-01-12 15:53:00,2831.94
close,2022-01-12 15:53:00,2831.94
open,2022-01-12 15:52:00,2832.005
high,2022-01-12 15:52:00,2833.15
low,2022-01-12 15:52:00,2831.94
close,2022-01-12 15:52:00,2833.0
open,2022-01-12 15:51:00,2829.83
high,2022-01-12 15:51:00,2830.5
low,2022-01-12 15:51:00,2829.47
close,2022-01-12 15:51:00,2830.5
open,2022-01-12 15:50:00,2831.79
high,2022-01-12 15:50:00,2832.69
low,2022-01-12 15:50:00,2830.76
close,2022-01-12 15:50:00,2831.46
open,2022-01-12 15:49:00,2829.61
high,2022-01-12 15:49:00,2830.67
low,2022-01-12 15:49:00,2829.61
close,2022-01-12 15:49:00,2830.67
open,2022-01-12 15:48:00,2829.58
high,2022-01-12 15:48:00,2829.98
low,2022-01-12 15:48:00,2829.12
close,2022-01-12 15:48:00,2829.98
open,2022-01-12 15:47:00,2833.08
high,2022-01-12 15:47:00,2833.08
low,2022-01-12 15:47:00,2831.58
close,2022-01-12 15:47:00,2831.58
open,2022-01-12 15:46:00,2829.64
high,2022-01-12 15:46:00,2833.36
low,2022-01-12 15:46:00,2829.64
close,2022-01-12 15:46:00,2832.37
open,2022-01-12 15:45:00,2826.55
high,2022-01-12 15:45:00,2828.55
low,2022-01-12 15:45:00,2826.55
close,2022-01-12 15:45:00,2828.43
open,2022-01-12 15:44:00,2825.45
high,2022-01-12 15:44:00,2826.125
low,2022-01-12 15:44:00,2825.45
close,2022-01-12 15:44:00,2826.125
open,2022-01-12 15:43:00,2825.44
high,2022-01-12 15:43:00,2825.92
low,2022-01-12 15:43:00,2824.93
close,2022-01-12 15:43:00,2824.955
open,2022-01-12 15:42:00,2824.69
high,2022-01-12 15:42:00,2825.14
low,2022-01-12 15:42:00,2823.78
close,2022-01-12 15:42:00,2825.14
open,2022-01-12 15:41:00,2824.97
high,2022-01-12 15:41:00,2824.97
low,2022-01-12 15:41:00,2824.76
close,2022-01-12 15:41:00,2824.76
open,2022-01-12 15:40:00,2824.2
high,2022-01-12 15:40:00,2824.22
low,2022-01-12 15:40:00,2824.2
close,2022-01-12 15:40:00,2824.22
open,2022-01-12 15:39:00,2824.14
high,2022-01-12 15:39:00,2824.14
low,2022-01-12 15:39:00,2823.755
close,2022-01-12 15:39:00,2823.89
open,2022-01-12 15:38:00,2825.06
high,2022-01-12 15:38:00,2825.06
low,2022-01-12 15:38:00,2823.695
close,2022-01-12 15:38:00,2823.695
open,2022-01-12 15:36:00,2825.245
high,2022-01-12 15:36:00,2826.0
low,2022-01-12 15:36:00,2824.32
close,2022-01-12 15:36:00,2826.0
open,2022-01-12 15:35:00,2826.41
high,2022-01-12 15:35:00,2826.41
low,2022-01-12 15:35:00,2825.06
close,2022-01-12 15:35:00,2825.45
open,2022-01-12 15:34:00,2826.105
high,2022-01-12 15:34:00,2826.87
low,2022-01-12 15:34:00,2826.0
close,2022-01-12 15:34:00,2826.0
open,2022-01-12 15:33:00,2825.2189
high,2022-01-12 15:33:00,2826.17
low,2022-01-12 15:33:00,2824.855
close,2022-01-12 15:33:00,2826.08
open,2022-01-12 15:32:00,2825.35
high,2022-01-12 15:32:00,2825.35
low,2022-01-12 15:32:00,2825.35
close,2022-01-12 15:32:00,2825.35
open,2022-01-12 15:31:00,2824.99
high,2022-01-12 15:31:00,2825.0
low,2022-01-12 15:31:00,2824.57
close,2022-01-12 15:31:00,2825.0
open,2022-01-12 15:28:00,2825.17
high,2022-01-12 15:28:00,2825.17
low,2022-01-12 15:28:00,2825.17
close,2022-01-12 15:28:00,2825.17
open,2022-01-12 15:26:00,2825.03
high,2022-01-12 15:26:00,2825.03
low,2022-01-12 15:26:00,2824.04
close,2022-01-12 15:26:00,2824.1
open,2022-01-12 15:25:00,2826.68
high,2022-01-12 15:25:00,2826.68
low,2022-01-12 15:25:00,2826.68
close,2022-01-12 15:25:00,2826.68
open,2022-01-12 15:24:00,2827.8
high,2022-01-12 15:24:00,2827.8
low,2022-01-12 15:24:00,2827.22
close,2022-01-12 15:24:00,2827.22
open,2022-01-12 15:23:00,2828.41
high,2022-01-12 15:23:00,2828.41
low,2022-01-12 15:23:00,2826.87
close,2022-01-12 15:23:00,2827.76
open,2022-01-12 15:22:00,2827.305
high,2022-01-12 15:22:00,2827.76
low,2022-01-12 15:22:00,2827.29
close,2022-01-12 15:22:00,2827.76
open,2022-01-12 15:21:00,2825.3288
high,2022-01-12 15:21:00,2826.82
low,2022-01-12 15:21:00,2825.3288
close,2022-01-12 15:21:00,2826.82
open,2022-01-12 15:20:00,2825.65
high,2022-01-12 15:20:00,2825.91
low,2022-01-12 15:20:00,2825.65
close,2022-01-12 15:20:00,2825.91
open,2022-01-12 15:19:00,2826.515
high,2022-01-12 15:19:00,2826.515
low,2022-01-12 15:19:00,2826.515
close,2022-01-12 15:19:00,2826.515
open,2022-01-12 15:18:00,2826.95
high,2022-01-12 15:18:00,2828.14
low,2022-01-12 15:18:00,2826.47
close,2022-01-12 15:18:00,2826.47
open,2022-01-12 15:17:00,2828.31
high,2022-01-12 15:17:00,2828.31
low,2022-01-12 15:17:00,2826.86
close,2022-01-12 15:17:00,2826.86
open,2022-01-12 15:16:00,2829.04
high,2022-01-12 15:16:00,2829.04
low,2022-01-12 15:16:00,2829.04
close,2022-01-12 15:16:00,2829.04
open,2022-01-12 15:15:00,2828.51
high,2022-01-12 15:15:00,2828.68
low,2022-01-12 15:15:00,2828.02
close,2022-01-12 15:15:00,2828.02
open,2022-01-12 15:14:00,2827.29
high,2022-01-12 15:14:00,2827.71
low,2022-01-12 15:14:00,2827.24
close,2022-01-12 15:14:00,2827.71
open,2022-01-12 15:13:00,2825.91
high,2022-01-12 15:13:00,2826.75
low,2022-01-12 15:13:00,2825.64
close,2022-01-12 15:13:00,2826.75
open,2022-01-12 15:12:00,2825.48
high,2022-01-12 15:12:00,2826.5
low,2022-01-12 15:12:00,2825.45
close,2022-01-12 15:12:00,2826.5
open,2022-01-12 15:11:00,2824.9
high,2022-01-12 15:11:00,2826.54
low,2022-01-12 15:11:00,2824.9
close,2022-01-12 15:11:00,2826.54
open,2022-01-12 15:10:00,2826.77
high,2022-01-12 15:10:00,2826.77
low,2022-01-12 15:10:00,2826.77
close,2022-01-12 15:10:00,2826.77
open,2022-01-12 15:08:00,2826.32
high,2022-01-12 15:08:00,2826.425
low,2022-01-12 15:08:00,2826.32
close,2022-01-12 15:08:00,2826.425
open,2022-01-12 15:07:00,2824.37
high,2022-01-12 15:07:00,2825.8
low,2022-01-12 15:07:00,2824.37
